CUEST,REGION,P1. El barrio en el que usted vive es…,P1b. Encuestador (no leer) registre si tiene certeza de que se trata de una villa o asentamiento:,P2. Tipo de vivienda,P22. ¿Cuál fue el monto de ingreso/salario que percibió el mes pasado por su ocupación principal?,"[Reclamos en internet través de petitorios, foros, tuitazo y otras modalidades virtuales.] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…",[Movilizaciones / concentraciones] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Cacerolazos / ruidazos] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Paros] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Cortes de calle o vías de transito] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Otros] P1. Ud. participó en reclamos colectivos durante la pandemia tales como…,[Problemas laborales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Contra la cuarentena y otras medidas sanitarias] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[En favor de clases presenciales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[En contra de las clases presenciales] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Seguridad / Corrupción / Justicia] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Por Asistencia Social del Estado (Ej. Ayuda alimentaria / planes sociales)] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Derechos de las mujeres] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Atención o prevención de salud] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Acceso a la vivienda y servicios públicos] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,[Otro] P2. ¿Cuáles fueron los motivos por los cuales participó en los reclamos?,P3. Participó usted en organizaciones sociales comunitarias en distribución de alimentos/comedores/ tareas de prevención en salud/ cuidado de adultos mayores/asistencia en trámites informáticos?,"[Ingreso Familiar de Emergencia] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[ATP y medidas de sostenimiento del salario de empresas privadas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Doble indemnización y prohibición de despidos] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Aporte solidario / impuesto a las grandes riquezas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[Congelamiento de alquileres y tarifas] P4. A continuación, le pedimos que nos diga su grado de acuerdo con las siguientes medidas…","[… disminuir impuestos a las grandes empresas] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[... disminuir impuestos a pequeñas y medianas empresas] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[… mayores impuestos a la riqueza] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","[… renta universal que garantice un ingreso para todas las familias vulnerables] P5. Durante la pandemia muchas voces reclamaron diversas medidas para implementar a futuro. A continuación, le pedimos que nos indique su grado de acuerdo con ….","P6. Muchas personas dicen que pertenecen a una clase determinada, Si tuviera que elegir una de las siguientes categorías, ¿diría que pertenece a...?",Cantidad total de miembros del hogar,Cantidad total de adultos en el hogar,Sexo entrevistado,Edad cumplida entrevistado,Edad en intervalos
1,GBA,4,1,1,40000,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0, ,1,2,1,1,1,1,4,3,2,4,5,5,3,2,28,4
2,GBA,4,1,1,30000,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,1,3,1,3,4,3,3,6,1,1,1,29,4
3,GBA,4,1,4,45000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,1,1,3,3,3,2,5,4,2,1,26,4
4,GBA,1, ,4,80000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,3,3,2,2,3,2,3,1,1,1,27,4
5,GBA,1, ,4,25000,1,2,2,2,2,2,0,0,0,0,0,1,0,0,0, ,2,1,1,1,1,3,4,2,2,2,2,1,1,1,24,4
6,GBA,4,1,5,50000,2,2,2,2,2,2, , , , , , , , , , ,2,3,2,1,3,2,4,2,3,3,5,1,1,1,29,4
7,GBA,4,1,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,3,3,2,2,4,4,3,3,3,1,21,4
8,GBA,4,1,1,22000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,1,1,3,4,3,3,5,4,2,1,26,4
9,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,3,3,1,4,2,2,2,5,4,2,2,36,5
10,GBA,4,1,1,10000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,2,3,3,2,2,5,4,4,2,22,4
11,GBA,4,1,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,2,1,2,2,3,2,5,5,4,2,24,4
12,GBA,4,1,1,15000,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,3,3,2,2,4,4,5,6,2,2,29,4
13,GBA,4,1,1,40000,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,2,2,3,2,2,4,5,3,2,1,25,4
14,GBA,4,1,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,2,2,2,2,4,5,3,3,1,21,4
15,GBA,4,1,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,2,3,2,2,3,4,5,5,3,1,19,4
16,GBA,4,1,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,6,5,3,2,27,4
17,GBA,4,1,5,32000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,1,3,3,2,2,5,1,1,1,29,4
18,GBA,4,1,4,25000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,2,3,2,2,1,20,4
19,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,3,3,2,2,2,1,79,8
20,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,2,1,3,2,2,2,3,1,1,2,86,8
21,GBA,1, ,4,63000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,3,5,5,2,1,44,5
22,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,3,2,2,5,5,2,2,41,5
23,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,2,1,3,3,3,2,5,5,3,2,43,5
24,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,1,1,1,4,4,2,2,5,4,3,1,47,5
25,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,1,1,1,34,5
26,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,1,2,1,3,4,2,3,4,2,2,1,50,6
27,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,2,5,1,1,2,28,4
28,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,1,1,1,1,1,1,4,2,2,2,6,3,2,2,39,5
29,GBA,1, ,4,120000,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0, ,1,1,1,3,3,3,2,2,4,4,3,3,2,2,40,5
30,GBA,1, ,4,90000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,2,1,2,2,4,4,5,4,3,1,48,5
31,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,2,2,2,3,2,2,2,5,1,1,2,49,5
32,GBA,1, ,1, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,4,2,3,1,1,2,71,7
33,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,2,1,2,2,2,3,3,3,3,3,1,1,1,78,8
34,GBA,1, ,4, ,1,2,1,2,2,2,0,0,0,0,1,0,0,0,0, ,2,2,1,3,2,99,2,2,3,4,2,2,2,2,59,6
35,GBA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,3,2,2,1,1,3,2,2,4,3,3,3,2,53,6
36,GBA,1, ,4,220000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,1,3,4,2,4,2,2,5,3,1,53,6
37,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,3,2,2,5,5,4,1,50,6
38,GBA,1, ,1,65000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,2,2,2,46,5
39,GBA,1, ,4,31000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,4,4,5,4,2,2,28,4
40,GBA,1, ,4,110000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,3,4,3,2,1,39,5
41,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,2,1,4,2,2,2,5,4,4,2,48,5
42,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,2,2,2,3,4,4,2,2,34,5
43,GBA,1, ,4,70000,2,2,2,2,2,2, , , , , , , , , , ,2,3,3,1,1,2,2,2,4,2,3,3,3,2,59,6
44,GBA,1, ,6,25000,2,2,2,2,2,2, , , , , , , , , , ,2,1,2,1,2,1,3,3,3,2,5,4,1,2,29,4
45,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,3,3,2,2,3,99,4,4,2,1,75,8
46,GBA,1, ,4,130000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,3,1,4,2,4,4,3,3,3,2,57,6
47,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,2,5,3,2,2,42,5
48,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,1,3,3,3,3,5,2,2,2,40,5
49,GBA,1, ,4,47000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,4,5,1,1,2,64,7
50,GBA,1, ,4,40000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,3,3,3,2,2,4,4,3,3,2,1,44,5
51,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,2,1,3,3,3,3,5,2,2,1,60,7
52,GBA,1, ,4,100000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,2,3,3,3,2,3,3,3,4,2,2,36,5
53,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,4,6,4,2,37,5
54,GBA,1, ,4,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,3,2,2,3,4,3,2,1,36,5
55,GBA,1, ,4, ,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,4,2,2,5,3,2,2,45,5
56,GBA,1, ,1,20000,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,4,2,2,45,5
57,GBA,1, ,4,36000,2,2,2,2,2,2, , , , , , , , , , ,2,3,1,1,3,1,3,3,2,2,5,4,3,2,52,6
58,GBA,1, ,1,999999,2,2,2,2,2,2, , , , , , , , , , ,2,1,1,1,1,1,4,2,2,2,5,4,2,1,44,5
